artist_id;genre;last_updated
7Gr3eqtmWKT8lF9eLDFU8k;argentine metal;2022-01-26 05:23:05.781013
7H7hLNfP9MzG8mt2A3s7nT;pop electronico;2022-01-26 05:23:34.184826
7HFja6X48hWE58m3pQnGV0;argentine indie;2022-01-26 05:24:00.712552
7HFja6X48hWE58m3pQnGV0;r&b argentino;2022-01-26 05:24:00.712552
7HMBGT3pyDCDQrBkDiKwkW;post-punk argentina;2022-01-26 05:24:22.085615
7HYmsIrdplztDHdCME0HML;electronica argentina;2022-01-26 05:24:42.962057
7IOVdsT0x0bzhDHssK68z3;argentine telepop;2022-01-26 05:25:22.080985
7J9Zz4NnioJCuf8wWHAQPI;electronica argentina;2022-01-26 05:26:34.851165
7J9Zz4NnioJCuf8wWHAQPI;indie platense;2022-01-26 05:26:34.851165
7JWJRzjFr2Qt5yB9ondmoq;bolero;2022-01-26 05:28:58.036865
7JWJRzjFr2Qt5yB9ondmoq;cancion melodica;2022-01-26 05:28:58.036865
7JWJRzjFr2Qt5yB9ondmoq;cantautor;2022-01-26 05:28:58.036865
7JWJRzjFr2Qt5yB9ondmoq;latin pop;2022-01-26 05:28:58.036865
7JWJRzjFr2Qt5yB9ondmoq;pop romantico;2022-01-26 05:28:58.036865
7JWJRzjFr2Qt5yB9ondmoq;ranchera;2022-01-26 05:28:58.036865
7Jd5yGHtvDFlJ43UIsmM9s;rosario indie;2022-01-26 05:29:17.909831
7K0Q9SUKzxWgefD9qSch6S;argentine heavy metal;2022-01-26 05:30:08.295160
7K0Q9SUKzxWgefD9qSch6S;argentine metal;2022-01-26 05:30:08.295160
7KTtecVDKYpIseUdqdNDpd;argentine rock;2022-01-26 05:31:02.866799
7KTtecVDKYpIseUdqdNDpd;rock nacional;2022-01-26 05:31:02.866799
7Ky9MAWbIE0z5VtPSNiMvd;folclore salteno;2022-01-26 05:31:38.300902
7Ky9MAWbIE0z5VtPSNiMvd;folklore argentino;2022-01-26 05:31:38.300902
7KySDz7YCUmj8sDek7nFTb;musica puntana;2022-01-26 05:31:43.068312
7L5Wc4IkDsEfNZhXEAC89O;indie tucumano;2022-01-26 05:32:15.143293
7LhS5MAxivPw1eoOvDnmJg;argentine hip hop;2022-01-26 05:33:26.102291
7LhS5MAxivPw1eoOvDnmJg;rap underground argentino;2022-01-26 05:33:26.102291
7MLo24EMMZaRATfZKpLS2i;rock nacional;2022-01-26 05:35:10.791654
7Mjn4aYeV5bxOB4mlVsGZc;argentine alternative rock;2022-01-26 05:36:17.828506
7Mjn4aYeV5bxOB4mlVsGZc;grunge argentina;2022-01-26 05:36:17.828506
7MluxtqbPB0qTO96HRfjFc;argentine reggae;2022-01-26 05:36:24.469103
7MsilfPNipUGeWRWeyEYBA;argentine reggae;2022-01-26 05:36:38.590682
7Mxqqaq1c8KVXiVLbdGasH;indie folk argentino;2022-01-26 05:36:49.681781
7aFWI1ooewKlAlMparvoab;argentine heavy metal;2022-01-26 05:37:59.422939
7aFWI1ooewKlAlMparvoab;argentine metal;2022-01-26 05:37:59.422939
7aFWI1ooewKlAlMparvoab;latin metal;2022-01-26 05:37:59.422939
7aFWI1ooewKlAlMparvoab;spanish metal;2022-01-26 05:37:59.422939
7aFg8Kd5Njjz1soXDyEgey;musica puntana;2022-01-26 05:38:05.172841
7aFqaaQlrRmK4d3wsEkfyT;argentine indie;2022-01-26 05:38:53.914977
7aFqaaQlrRmK4d3wsEkfyT;argentine rock;2022-01-26 05:38:53.914977
7aFqaaQlrRmK4d3wsEkfyT;electronica argentina;2022-01-26 05:38:53.914977
7aN7cD9QGOLf4d9Os89Qt2;chapman stick;2022-01-26 05:39:16.898023
7angJhk6prgArU70JNtgTT;argentine punk;2022-01-26 05:40:26.470213
7angJhk6prgArU70JNtgTT;indie platense;2022-01-26 05:40:26.470213
7anmOFZdn5gumTRdUekKrd;latincore;2022-01-26 05:40:39.076070
7auZpWzlXPKvPM4lRxzHvY;folclore jujeno;2022-01-26 05:41:05.186269
7b89ME0hTnpCt64xh9p38j;indie cordoba;2022-01-26 05:41:38.697379
7b9sKik75zKWBxb08EAAQU;argentine indie;2022-01-26 05:42:39.938428
7b9sKik75zKWBxb08EAAQU;argentine rock;2022-01-26 05:42:39.938428
7bsGnZQP4ZgowmIolQCZNL;ska argentino;2022-01-26 05:43:55.695117
7bwitWynogcb1LuOM02ln7;indie cordoba;2022-01-26 05:44:07.255008
7c5vya7UGr2OU2L9Q7ura8;folclore santiagueno;2022-01-26 05:44:13.395569
7c5vya7UGr2OU2L9Q7ura8;folklore argentino;2022-01-26 05:44:13.395569
7c8SVvHiXiEY6f3H7M6BcW;folclore santiagueno;2022-01-26 05:45:00.828045
7c8SVvHiXiEY6f3H7M6BcW;folklore argentino;2022-01-26 05:45:00.828045
