artist_id;artist_name;bio;popularidad;followers;saved_albums;total_albums;spotify_url;image_640x640;image_320x320;image_60x60;last_updated
5fVtUielMhdztOA34ArB6c;ratones paranoicos;;56;292811;31;54;https://open.spotify.com/artist/5fVtUielMhdztOA34ArB6c;https://i.scdn.co/image/ab6761610000e5eb73e6de60462779c8435060e3;https://i.scdn.co/image/ab6761610000517473e6de60462779c8435060e3;https://i.scdn.co/image/ab6761610000f17873e6de60462779c8435060e3;2022-01-26 00:49:52.212035
5fZhA6D9pZf7xYUv84Vazf;gripe;;1;212;4;4;https://open.spotify.com/artist/5fZhA6D9pZf7xYUv84Vazf;https://i.scdn.co/image/ab6761610000e5ebce15aa2e3427d558e0389e04;https://i.scdn.co/image/ab67616100005174ce15aa2e3427d558e0389e04;https://i.scdn.co/image/ab6761610000f178ce15aa2e3427d558e0389e04;2022-01-26 00:50:02.431006
5fs9bxwPJ4ofGlFFY67U8I;santos inocentes;;24;4661;4;5;https://open.spotify.com/artist/5fs9bxwPJ4ofGlFFY67U8I;https://i.scdn.co/image/ab6761610000e5ebad868e81c7dc8d8f5f303f6d;https://i.scdn.co/image/ab67616100005174ad868e81c7dc8d8f5f303f6d;https://i.scdn.co/image/ab6761610000f178ad868e81c7dc8d8f5f303f6d;2022-01-26 00:50:18.865740
5ftC6LBaWpNeZ5OulADw2i;anamolí;;8;678;8;12;https://open.spotify.com/artist/5ftC6LBaWpNeZ5OulADw2i;https://i.scdn.co/image/ab6761610000e5eb6d72dd6b15d4f0fb4e4e9843;https://i.scdn.co/image/ab676161000051746d72dd6b15d4f0fb4e4e9843;https://i.scdn.co/image/ab6761610000f1786d72dd6b15d4f0fb4e4e9843;2022-01-26 00:50:30.018857
5fxkpRvD11OPy2uD2zZ4iU;the terror;;8;106;9;9;https://open.spotify.com/artist/5fxkpRvD11OPy2uD2zZ4iU;https://i.scdn.co/image/ab6761610000e5eb0c96189202e3ba1d671d802c;https://i.scdn.co/image/ab676161000051740c96189202e3ba1d671d802c;https://i.scdn.co/image/ab6761610000f1780c96189202e3ba1d671d802c;2022-01-26 00:50:43.471933
5fxp2enRFCwBq2mqACgJz7;la carga;;1;115;5;5;https://open.spotify.com/artist/5fxp2enRFCwBq2mqACgJz7;https://i.scdn.co/image/ab67616d0000b2735de560bd4f9606b852fe6b16;https://i.scdn.co/image/ab67616d00001e025de560bd4f9606b852fe6b16;https://i.scdn.co/image/ab67616d000048515de560bd4f9606b852fe6b16;2022-01-26 00:50:58.796732
5gH3fVr85QCZg3KTYQB3m4;lucila ruiu;;9;1708;4;5;https://open.spotify.com/artist/5gH3fVr85QCZg3KTYQB3m4;https://i.scdn.co/image/ab6761610000e5eb4a16c0094ed9ce3bb024a083;https://i.scdn.co/image/ab676161000051744a16c0094ed9ce3bb024a083;https://i.scdn.co/image/ab6761610000f1784a16c0094ed9ce3bb024a083;2022-01-26 00:51:05.374824
5gJpNbQmCN1dNxeG3spXtO;nde ramirez;;1;118;4;4;https://open.spotify.com/artist/5gJpNbQmCN1dNxeG3spXtO;https://i.scdn.co/image/ab6761610000e5eb35930af4269582055343a365;https://i.scdn.co/image/ab6761610000517435930af4269582055343a365;https://i.scdn.co/image/ab6761610000f17835930af4269582055343a365;2022-01-26 00:51:17.325351
5gLkH7Jm4ftLDRs6MHrtuS;muertos nuevos;;0;55;3;3;https://open.spotify.com/artist/5gLkH7Jm4ftLDRs6MHrtuS;https://i.scdn.co/image/ab6761610000e5eb7e082115a5a48f35e59a4668;https://i.scdn.co/image/ab676161000051747e082115a5a48f35e59a4668;https://i.scdn.co/image/ab6761610000f1787e082115a5a48f35e59a4668;2022-01-26 00:51:26.044228
5gMEZRCMq0gWA3kuCPukEk;maría elena walsh;;50;66202;22;26;https://open.spotify.com/artist/5gMEZRCMq0gWA3kuCPukEk;https://i.scdn.co/image/ab67616d0000b2733ec706c9752da52001e2e107;https://i.scdn.co/image/ab67616d00001e023ec706c9752da52001e2e107;https://i.scdn.co/image/ab67616d000048513ec706c9752da52001e2e107;2022-01-26 00:52:28.864504
